# atmos --saveVMR -z0[1]4[2]20[5]40[10]120 -fxy -o USS_25.xy USstandard_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     0.000        1013     288.200   2.548e+19        7745         330      0.0266        0.32        0.15         1.7    2.09e+05
     1.000       898.8     281.700   2.313e+19        6071         330     0.02931        0.32       0.145         1.7    2.09e+05
     2.000         795     275.200   2.094e+19        4631         330     0.03237        0.32        0.14         1.7    2.09e+05
     3.000       701.2     268.700   1.891e+19        3182         330     0.03318        0.32       0.135         1.7    2.09e+05
     4.000       616.6     262.200   1.704e+19        2158         330     0.03387        0.32       0.131         1.7    2.09e+05
     6.000       472.2     249.200   1.373e+19         925         330     0.04112        0.32       0.129         1.7    2.09e+05
     8.000       356.5     236.200   1.094e+19         367         330     0.05966        0.32       0.119         1.7    2.09e+05
    10.000         265     223.300   8.602e+18          70         330       0.131       0.318     0.09962        1.68    2.09e+05
    12.000         194     216.700   6.489e+18        19.1         330        0.31        0.31     0.07814        1.66    2.09e+05
    14.000       141.7     216.700   4.739e+18        5.93         330       0.503         0.3     0.05025        1.63    2.09e+05
    16.000       103.5     216.700   3.462e+18        3.95         330        0.87       0.288     0.03069        1.58    2.09e+05
    18.000       75.65     216.700    2.53e+18        3.83         330        1.59       0.267     0.01966        1.52    2.09e+05
    20.000       55.29     216.700   1.849e+18         3.9         330        2.58       0.236     0.01331        1.42    2.09e+05
    25.000       25.49     221.600   8.337e+17        4.43         330        5.12       0.176     0.01498        1.05    2.09e+05
    30.000       11.97     226.500    3.83e+17        4.72         330        6.55       0.142      0.0171       0.914    2.09e+05
    35.000       5.746     236.500   1.761e+17         4.9         330        7.84     0.09275     0.02009       0.746    2.09e+05
    40.000       2.871     250.400    8.31e+16        5.03         330         7.3     0.04513     0.02497       0.564    2.09e+05
    50.000      0.7978     270.700   2.136e+16        5.22         330         3.1    0.004752     0.04597        0.21    2.09e+05
    60.000       0.219     247.000   6.426e+15        4.75         330         1.1    0.002065       0.107        0.15    2.09e+05
    70.000      0.0522     219.600   1.723e+15         3.5         330         0.3    0.001149       0.306        0.15    2.09e+05
    80.000      0.0105     198.600   3.832e+14        2.05         328         0.3   0.0007056         1.5        0.15    2.09e+05
    90.000     0.00184     186.900   7.136e+13        0.85         310         0.7   0.0004708        5.84        0.14     1.9e+05
   100.000     0.00032     195.100   1.189e+13         0.4         195         0.4   0.0003323        16.9        0.12     1.6e+05
   110.000     7.1e-05     240.000   2.144e+12        0.28          60        0.05   0.0002443        33.6       0.095     1.2e+05
   120.000    2.54e-05     360.000   5.114e+11         0.2          35      0.0005   0.0001851          50        0.03    7.25e+04
